dish_id,name,"weight [g]"
26,Jabłko,55
26,Marchew,127
26,"Olej rzepakowy",5
114,"Oliwa z oliwek",10
114,Pomidor,200
114,Ogórek,40
114,"Sól biała",1
114,Rzodkiewka,60
114,Koper,8
116,"Sok pomidorowy",250
118,Sałata,5
118,Pomidor,20
118,"Jajko kurze",56
118,Awokado,10
118,"Chleb żytni razowy",30
118,"Masło ekstra",5
119,Banan,100
119,"Makaron bezjajeczny z semoliny",60
119,"Ser twarogowy chudy",50
119,"Jogurt naturalny 2%",50
120,"Mleko UHT",250
120,Truskawki,225
120,"Mleko odtłuszczone",10
121,"Sok cytrynowy",6
121,Jabłko,150
121,Szpinak,25
121,"Natka pietruszki",40
121,Ogórek,80
122,Woda,100
122,Mango,280
122,Cytryna,80
122,Banan,120
122,Ananas,200
122,Szpinak,100
123,"Miód pszczeli",24
123,Jabłko,300
123,Cytryna,40
123,Banan,120
124,Pomarańcza,200
124,Jabłko,150
124,Szpinak,50
124,Marchew,90
124,Burak,100
125,"Miód pszczeli",24
125,Jabłko,150
125,Grejpfrut,220
125,Jarmuż,20
127,"Sok cytrynowy",6
127,Mleko,250
127,"Miód pszczeli",24
127,"Wiórki kokosowe",6
127,Banan,120
128,"Pieprz czarny mielony",1
128,"Sok cytrynowy",6
128,"Sól biała",1
128,Awokado,140
128,Rzodkiewka,60
128,Koper,16
128,Kalafior,250
128,Czosnek,5
130,"Sól biała",1
130,Awokado,70
130,"Jajko kurze",56
130,"Ser Parmezan",8
131,"Oliwa z oliwek",5
131,"Sól biała",1
131,"Pieprz czarny mielony",1
131,Szpinak,12
131,Rzodkiewka,30
131,Pomidor,60
131,Koper,4
131,Czosnek,2
131,Cukinia,150
131,"Kasza gryczana",50
131,"Wołowina, polędwica",50
132,"Płatki owsiane",50
132,"Jogurt naturalny 2%",100
132,"Orzechy włoskie",15
132,Banan,60
133,Awokado,20
133,"Bułka grahamka",65
133,"Szynka z indyka",15
134,Awokado,20
134,"Chleb żytni razowy",30
134,"Szynka z indyka",15
135,"Jogurt naturalny 2%",120
135,"Orzechy włoskie",30
135,Truskawki,140
135,"Musli z owocami suszonymi",60
136,Ogórek,20
136,"Bułka grahamka",65
136,"Ser twarogowy chudy",50
137,"Orzechy włoskie",15
137,Banan,60
137,"Musli z owocami suszonymi",45
137,"Jogurt naturalny 2%",100
138,"Masło ekstra",5
138,Pomidor,20
138,"Bułka grahamka",65
138,"Szynka z indyka",15
139,"Jogurt naturalny 2%",60
139,Migdały,15
139,"Daktyle suszone",10
139,Truskawki,140
139,Banan,120
139,"Płatki owsiane",60
140,Cebula,200
140,"Sól biała",2
140,Marchew,135
140,"Koncentrat pomidorowy",100
140,"Kasza gryczana",157
140,"Olej rzepakowy uniwersalny",40
140,"Mięso z piersi kurczaka",400
140,Pieczarka,200
140,Pomidor,360
140,"Natka pietruszki",30
140,Pietruszka,50
140,"Papryka czerwona",280
141,"Sól biała",1
141,Szczypiorek,15
141,Pomidor,480
141,Czosnek,5
141,Cebula,100
141,"Jajko kurze",224
141,"Oliwa z oliwek",20
141,"Natka pietruszki",12
141,"Pieprz czarny mielony",1
142,"Sól biała",1
142,Sałata,30
142,"Papryka czerwona",140
142,Cukinia,300
142,"Mięso z piersi kurczaka",100
142,"Sok cytrynowy",12
142,"Olej rzepakowy uniwersalny",20
143,"Sól biała",1
143,Jarmuż,20
143,"Olej rzepakowy uniwersalny",10
144,Awokado,20
144,"Natka pietruszki",3
144,"Chleb żytni razowy",30
144,"Łosoś wędzony",30
144,"Sól biała",1
144,"Sok cytrynowy",3
146,Pomidor,120
146,"Natka pietruszki",6
146,"Łosoś wędzony",30
146,"Białko jaja kurzego",35
146,"Jajko kurze",56
146,"Sól biała",1
146,"Pieprz czarny mielony",1
146,"Oliwa z oliwek",10
147,"Sól biała",1
147,Szpinak,25
147,"Papryka czerwona",100
147,Czosnek,5
147,Cebula,100
147,"Jajko kurze",168
147,"Oliwa z oliwek",10
148,Pomarańcza,200
148,Cytryna,80
148,Szpinak,25
148,Sałata,20
148,"Oliwa z oliwek",10
149,"Orzechy włoskie",30
149,Jabłko,150
149,Sałata,35
149,"Oliwa z oliwek",10
150,"Sól biała",1
150,Sałata,5
150,Rzodkiewka,75
150,Por,140
150,Cebula,100
150,"Jogurt naturalny 2%",40
151,"Jogurt naturalny 2%",80
151,"Sól biała",1
151,Migdały,15
151,Czosnek,5
151,"Pieprz cayenne",1
151,Brokuły,125
152,Cytryna,40
152,Pomidor,120
152,"Natka pietruszki",18
152,Ogórek,40
152,Cebula,100
152,"Fasola cięta",30
152,"Pieprz czarny mielony",1
152,"Oliwa z oliwek",10
153,"Sól biała",1
153,Marchew,500
153,"Oliwa z oliwek",40
154,"Sól biała",1
154,"Pestki dyni",30
154,Ziemniaki,140
154,Pietruszka,50
154,Marchew,45
154,Dynia,500
154,Czosnek,15
154,Cebula,100
154,"Oliwa z oliwek",5
154,"Chleb bezglutenowy",60
155,"Sól biała",1
155,"Nasiona słonecznika",10
155,Cytryna,20
155,Awokado,70
155,Szpinak,25
155,Pomidor,40
155,"Kasza jęczmienna",50
155,"Masło ekstra",5
155,"Łosoś, świeży",100
155,Brokuły,75
156,"Czekolada gorzka",12
156,"Miód pszczeli",10
156,"Wiórki kokosowe",6
156,Truskawki,70
156,Banan,60
156,"Ryż biały",50
156,Mleko,125
157,"Czekolada gorzka",18
157,Śliwki,240
157,Mleko,250
158,"Sól biała",1
158,Ogórek,40
158,"Pieprz czarny mielony",1
158,Rzodkiewka,15
158,"Śmietana 12%",18
159,"Sól biała",1
159,Sałata,25
159,Pomidor,120
159,Ogórek,40
159,"Oliwa z oliwek",10
160,"Sól biała",1
160,"Majonez domowy z olejem rzepakowym",40
160,"Ogórek, konserwowe",100
160,Ziemniaki,140
160,"Natka pietruszki",24
160,"Śledź w oleju",400
160,"Jajko kurze",224
161,"Sól biała",1
161,"Majonez domowy z olejem rzepakowym",15
161,Cytryna,24
161,Awokado,42
161,Szpinak,50
161,Koper,5
161,"Łosoś, świeży",100
161,"Jogurt naturalny 2%",20
161,"Jajko kurze",63
161,"Masło ekstra",5
162,"Sól biała",1
162,Cytryna,24
162,Awokado,70
162,Sałata,25
162,Rzodkiewka,60
162,Cebula,30
162,"Tuńczyk w wodzie",85
162,"Olej sezamowy",6
162,"Jajko kurze",63
163,"Sól biała",1
163,Szparagi,120
163,Sałata,25
163,Pomidor,120
163,Brokuły,150
163,"Jajko kurze",56
163,"Oliwa z oliwek",10
164,"Ser Brie",60
164,Musztarda,10
164,"Orzechy włoskie",30
164,Pomarańcza,200
164,Grejpfrut,220
164,"Oliwa z oliwek",20
164,"Buraki gotowane",240
164,"Sól biała",2
164,"Miód pszczeli",48
164,Szpinak,100
165,"Sól biała",1
165,Pieczarka,20
165,Szczypiorek,10
165,Pomidor,120
165,"Papryka zielona",70
165,"Szynka z indyka",30
165,"Jajko kurze",112
166,Jabłko,80
166,"Natka pietruszki",12
166,"Sok cytrynowy",6
167,"Sok pomidorowy",250
167,Migdały,15
169,"Miód pszczeli",24
169,Pomarańcza,200
169,Sałata,20
169,Pomidor,120
169,"Oliwa z oliwek",10
169,"Mięso z piersi kurczaka",100
169,"Pieprz czarny mielony",1
169,"Tymianek suszony",4
169,"Sól biała",1
170,"Sól biała",1
170,Pomidor,60
170,"Natka pietruszki",3
170,"Papryka czerwona",35
170,Koper,4
170,Czosnek,5
170,Cukinia,75
170,"Kasza gryczana",50
170,"Mięso z piersi kurczaka",50
170,"Sok pomidorowy",125
170,"Oliwa z oliwek",10
171,Len,5
171,"Orzechy laskowe",15
171,"Wiórki kokosowe",6
171,"Płatki owsiane",30
171,Mleko,250
172,"Sól biała",1
172,Musztarda,10
172,"Miód pszczeli",24
172,Cytryna,40
172,Szpinak,100
172,Szparagi,150
172,Szczypiorek,10
172,Rzodkiewka,60
172,"Natka pietruszki",12
172,"Oliwa z oliwek",10
172,"Łosoś wędzony",120
173,"Pieprz czarny mielony",1
173,"Ziele angielskie",1
173,"Sól biała",2
173,"Pestki dyni",10
173,"Seler korzeniowy",60
173,Pietruszka,50
173,Marchew,45
173,Brokuły,500
173,"Kasza jaglana",39
173,"Jogurt naturalny 2%",20
174,"Natka pietruszki",6
174,Pieczarka,40
174,Pomidor,60
174,"Sól biała",1
174,"Masło ekstra",5
174,"Szynka z piersi kurczaka",30
174,"Jajko kurze",112
175,"Sól biała",1
175,"Kapusta kwaszona",110
175,"Mięso z piersi indyka",100
175,"Oliwa z oliwek",10
176,"Oliwa z oliwek",10
176,"Sól biała",2
176,Sałata,15
176,Pomidor,120
176,Ogórek,40
176,"Ryż brązowy",45
176,"Jajko kurze",56
176,"Serek wiejski",100
177,"Miód pszczeli",24
177,Cytryna,80
177,Ananas,240
177,Szpinak,25
177,Burak,100
178,"Oliwa z oliwek",10
178,"Sól biała",1
178,Musztarda,10
178,Sałata,25
178,Czosnek,5
178,"Jajko kurze",63
179,"Sól biała",1
179,"Natka pietruszki",12
179,"Fasola szparagowa",90
179,Cebula,50
179,"Masło ekstra",5
179,"Łosoś wędzony",60
179,"Białko jaja kurzego",70
180,"Jogurt naturalny 2%",250
180,Cukier,20
180,"Sól biała",1
180,Banan,120
180,"Mąka pszenna",160
180,"Masło ekstra",5
180,"Jajko kurze",112
181,"Ogórek kwaszony",20
181,Szczypiorek,5
181,Cebula,10
181,"Bułka owsiana",60
181,"Tuńczyk w wodzie",30
181,"Jogurt naturalny 2%",20
182,Pomarańcza,200
182,Kiwi,150
182,Banan,120
182,Szpinak,50
182,"Seler naciowy",45
183,"Daktyle suszone",10
183,Kiwi,75
183,Jabłko,40
183,Banan,40
183,"Kasza jaglana",100
183,"Jogurt naturalny 2%",100
184,"Sól biała",1
184,"Czarne jagody",80
184,"Soczewica, kiełki",15
184,Rzodkiewka,30
184,Ogórek,40
184,Maślanka,250
184,"Jajko kurze",63
185,"Sól biała",1
185,Szczypiorek,5
185,"Natka pietruszki",6
185,Ogórek,100
185,Koper,8
185,Czosnek,5
185,Cukinia,150
185,"Oliwa z oliwek",10
185,Maślanka,250
186,"Sól biała",2
186,Pomidor,480
186,"Papryka czerwona",280
186,"Oliwa z oliwek",20
186,"Jogurt naturalny 2%",40
187,"Włoszczyzna krojona w paski, mrożona",100
187,"Seler korzeniowy",60
187,Pietruszka,50
187,Marchew,45
187,Cebula,100
187,Brokuły,500
187,"Oliwa z oliwek",20
188,"Miód pszczeli",24
188,Pomarańcza,200
188,Cytryna,80
188,Ogórek,200
189,"Miód pszczeli",24
189,"Mrożone truskawki",100
189,Grejpfrut,220
189,Cytryna,40
190,"Sól biała",1
190,"Ogórek kwaszony",120
190,Pomidor,240
190,"Natka pietruszki",18
190,"Otręby pszenne",4
190,Cukier,10
191,"Miód pszczeli",24
191,"Czarne jagody",130
191,"Płatki owsiane",10
191,Kefir,250
192,"Miód pszczeli",24
192,"Orzechy włoskie",15
192,"Maliny, mrożone",250
192,Mleko,250
193,"Wiórki kokosowe",6
193,Pomarańcza,200
193,Gruszka,130
193,Banan,120
193,"Płatki owsiane",250
193,"Masło ekstra",5
193,Mleko,250
194,"Miód pszczeli",24
194,Migdały,30
194,Truskawki,70
194,Pomarańcza,200
194,Cytryna,40
194,Sałata,15
194,"Oliwa z oliwek",20
195,"Dżem z czarnych porzeczek, niskosłodzony",15
195,"Musli z rodzynkami i orzechami",70
195,"Jogurt naturalny 2%",100
196,"Miód pszczeli",24
196,"Wiórki kokosowe",6
196,Banan,120
196,"Kasza jaglana",90
196,"Masło ekstra",5
196,Mleko,250
196,"Sól biała",1
197,"Miód pszczeli",72
197,"Nasiona słonecznika",10
197,"Orzechy włoskie",15
197,Migdały,15
197,"Płatki owsiane",110
197,Pomarańcza,100
197,Kiwi,30
198,Gruszka,130
198,"Płatki owsiane",20
198,Mleko,250
199,"Miód pszczeli",24
199,"Morele, suszone",24
199,Jabłko,150
199,"Płatki owsiane",30
199,Mleko,250
200,Migdały,30
200,"Daktyle suszone",10
200,Grejpfrut,110
200,Banan,120
200,"Płatki owsiane",200
200,Mleko,500
201,"Sól biała",1
201,Cytryna,80
201,Awokado,70
201,Sałata,10
201,Pomidor,120
201,Czosnek,5
201,Cebula,50
201,"Chleb żytni razowy",120
201,"Szynka z indyka",30
201,"Oliwa z oliwek",20
202,"Miód pszczeli",24
202,Migdały,15
202,Truskawki,70
202,Jabłko,75
202,Grejpfrut,110
202,"Serek wiejski",100
203,"Miód pszczeli",24
203,"Orzechy włoskie",15
203,Rodzynki,15
203,Ananas,80
203,Szpinak,25
203,Sałata,30
203,"Papryka czerwona",40
203,"Ser, Rokpol pełnotłusty",50
204,"Soja, kiełki",15
204,Sałata,5
204,Rzodkiewka,15
204,Pomidor,20
204,"Bułka grahamka",65
204,"Masło ekstra",5
204,"Szynka z indyka",15
205,"Pestki dyni",10
